Question, Answer
When was the American Civil War?,"The American Civil War was fought from 1861 to 1865."
When was the French Revolution?,"The French Revolution began in 1789 and ended in 1799."
When was the first World War?,"The First World War began in 1914 and ended in 1918."
When was the United Nations founded?,"The United Nations was founded on October 24, 1945."
When was the first Olympic Games?,"The first Olympic Games were held in ancient Greece in 776 BC."
When was the first successful human landing on the moon?,"The first successful human landing on the moon was on July 20, 1969, as part of the Apollo 11 mission."
When was the first computer invented?,"The first electronic computer, called the Electronic Numerical Integrator And Computer (ENIAC), was invented in 1945 by John W. Mauchly and J. Presper Eckert."
When was the first smartphone invented?,"The first smartphone, IBM Simon, was invented in 1992."
When was the first iPhone released?,"The first iPhone was released on June 29, 2007."
When was the internet first introduced?,"The first message was sent over the internet on October 29, 1969. It was sent from a computer at UCLA to a computer at SRI International in Menlo Park, California."
Where is Mount Everest located?,"Mount Everest is located on the border of Nepal and Tibet, in the Himalayas mountain range."
Where is the Great Wall of China located?,"The Great Wall of China is located in northern China, stretching across several provinces including Liaoning, Hebei, Tianjin, Beijing, Inner Mongolia, Shanxi, Shaanxi, Ningxia, and Gansu."
Where is the Louvre Museum located?,"The Louvre Museum is located in Paris, France."
Where is the Victoria Falls located?,"The Victoria Falls is located on the border of Zambia and Zimbabwe, in southern Africa."
Where is the Amazon Rainforest located?,"The Amazon Rainforest is located in South America, spanning across several countries including Brazil, Peru, Colombia, Ecuador, Bolivia, and Venezuela."
Where is the Great Barrier Reef located?,"The Great Barrier Reef is located off the coast of northeastern Australia, in the Coral Sea."
Where is the Grand Canyon located?,"The Grand Canyon is located in Arizona, USA."
Where is the Niagara Falls located?,"The Niagara Falls is located on the border of Ontario, Canada and New York, USA."
Who discovered the structure of DNA?,"James Watson and Francis Crick, with the assistance of Rosalind Franklin and Maurice Wilkins, discovered the structure of DNA in 1953. They proposed a double helix model, which was later confirmed through X-ray crystallography."
Who invented the telephone?,"Alexander Graham Bell is credited with inventing the telephone in 1876. He was awarded the first US patent for an ""improvement in telegraphy"" which described an ""electrical speech circuit."""
Who wrote the Declaration of Independence?,"Thomas Jefferson is credited as the primary author of the Declaration of Independence, which was adopted by the Continental Congress on July 4th, 1776."
Who painted the Mona Lisa?,"The Mona Lisa was painted by the Italian artist Leonardo da Vinci in the early 16th century."
Who discovered the law of gravitation?,"Sir Isaac Newton formulated the law of gravitation in 1687. He published his laws of motion and universal gravitation in the ""Philosophiæ Naturalis Principia Mathematica"""
Who wrote the Harry Potter series?,"The Harry Potter series was written by British author J.K. Rowling."
Who discovered America?,"The land that is now known as America was first discovered by the indigenous peoples who lived there long before the arrival of Europeans. Christopher Columbus, who was sponsored by the Catholic Monarchs of Spain, is often credited with the ""discovery"" of America in 1492, however, he was not the first European to reach America, nor was he the first to realize that it was a new continent."
Who is the current President of the United States?,"As of my knowledge cut off date in 2021, the current President of the United States is Joe Biden."
Who discovered the smallpox vaccine?,"The smallpox vaccine was discovered by Edward Jenner in 1796. He observed that milkmaids who had contracted cowpox, a similar but less deadly disease, did not contract smallpox. He hypothesized that cowpox protected against smallpox, and he successfully tested this by infecting a young boy with cowpox and then exposing him to smallpox."
Who was the first man to walk on the moon?,"Neil Armstrong was the first man to walk on the moon on July 20, 1969, as part of the Apollo 11 mission."
Who invented the steam engine?,"James Watt is credited with inventing the steam engine in the late 18th century. He made several improvements to the existing design, which made it more efficient and practical for use in industry."
Who wrote the novel "Pride and Prejudice"?,"The novel ""Pride and Prejudice"" was written by the English author Jane Austen in 1813."
Who composed the opera "The Barber of Seville"?,"The opera ""The Barber of Seville"" was composed by the Italian composer Gioachino Rossini in 1816."
Who was the first president of the United States?,"George Washington was the first President of the United States, serving from 1789 to 1797."
Who discovered the structure of the atom?,"The structure of the atom was discovered by several scientists throughout history, including John Dalton in the early 19th century, J.J. Thomson in the late 19th century, and Niels Bohr in the early 20th century."
Who discovered the polio vaccine?,"The polio vaccine was developed by American physician and virologist Jonas Salk in the 1950s."
Who wrote the novel "The Great Gatsby"?,"The novel ""The Great Gatsby"" was written by the American author F. Scott Fitzgerald in 1925."
Who composed the music for the opera "La Traviata"?,"The opera ""La Traviata"" was composed by the Italian composer Giuseppe Verdi in 1853."
Who wrote the novel "To Kill a Mockingbird"?,"The novel ""To Kill a Mockingbird"" was written by American author Harper Lee and published in 1960."
Who painted the painting "The Scream"?,"The painting ""The Scream"" was painted by the Norwegian artist Edward Munch in the 1890s."
Who discovered the cause of yellow fever?,"The cause of yellow fever was discovered by American physician Walter Reed and his team in the early 1900s, who identified the disease was transmitted by mosquitoes."
Who discovered the element Helium?,"The element Helium was discovered by French astronomer Jules Janssen and British astronomer Joseph Norman Lockyer in 1868, independently of each other."
Who was the first woman to win the Nobel Prize?,"The first woman to win the Nobel Prize was Marie Curie, who won the Physics Prize in 1903 and the Chemistry Prize in 1911."
Who was the first African American to win the Nobel Prize?,"The first African American to win the Nobel Prize was Ralph Bunche, who won the Peace Prize in 1950."
What is the largest planet in the solar system?,"The largest planet in the solar system is Jupiter."
What is the currency of Ireland?,"The currency of Ireland is the Euro."
